,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
1719,Mount Road ATM,SUNDAY,NH,H,HHW,3,12,2011,537758,300700
1724,Mount Road ATM,MONDAY,NH,W,HWW,3,12,2011,580429,445000
1729,Mount Road ATM,TUESDAY,NH,W,WWW,3,12,2011,580429,552700
1734,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,12,2011,580429,461600
1739,Mount Road ATM,THURSDAY,NH,W,WWW,3,12,2011,580429,517800
1744,Mount Road ATM,FRIDAY,NH,W,WWH,4,12,2011,580429,334200
1749,Mount Road ATM,SATURDAY,NH,H,WHH,4,12,2011,580429,805200
1754,Mount Road ATM,SUNDAY,NH,H,HHW,4,12,2011,580429,623600
1759,Mount Road ATM,MONDAY,NH,W,HWW,4,12,2011,534300,639900
1764,Mount Road ATM,TUESDAY,NH,W,WWW,4,12,2011,534300,523200
1769,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,12,2011,534300,382900
1774,Mount Road ATM,THURSDAY,NH,W,WWW,5,12,2011,534300,338100
1779,Mount Road ATM,FRIDAY,NH,W,WWH,5,12,2011,534300,477700
1784,Mount Road ATM,SATURDAY,NH,H,WHH,5,12,2011,534300,589800
1789,Mount Road ATM,SUNDAY,C,H,HHW,5,12,2011,534300,201800
1794,Mount Road ATM,MONDAY,NH,W,HWW,6,12,2011,450486,561900
1799,Mount Road ATM,TUESDAY,NH,W,WWW,6,12,2011,450486,396400
1804,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,12,2011,450486,468700
1809,Mount Road ATM,THURSDAY,NH,W,WWW,6,12,2011,450486,189300
1814,Mount Road ATM,FRIDAY,NH,W,WWH,6,12,2011,450486,381900
1819,Mount Road ATM,SATURDAY,NH,H,WHH,7,12,2011,450486,933600
1824,Mount Road ATM,SUNDAY,C,H,HHW,1,1,2012,447658,560900
1829,Mount Road ATM,SUNDAY,C,H,HHW,1,1,2012,560900,644200
1834,Mount Road ATM,SUNDAY,C,H,HHW,1,1,2012,560900,827200
1839,Mount Road ATM,SUNDAY,C,H,HHW,1,1,2012,560900,510700
1844,Mount Road ATM,SUNDAY,C,H,HHW,1,1,2012,560900,706800
1849,Mount Road ATM,SUNDAY,C,H,HHW,2,1,2012,560900,722600
1854,Mount Road ATM,SATURDAY,NH,H,WHH,2,1,2012,560900,911300
1859,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,2012,560900,587200
1864,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,2012,701429,579600
1869,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,2012,701429,433600
1874,Mount Road ATM,SUNDAY,NH,H,HHW,3,1,2012,701429,522100
1879,Mount Road ATM,SUNDAY,NH,H,HHW,3,1,2012,701429,755800
1884,Mount Road ATM,SUNDAY,NH,H,HHW,3,1,2012,701429,506500
1889,Mount Road ATM,SATURDAY,NH,H,WHH,3,1,2012,701429,626400
1894,Mount Road ATM,SUNDAY,H,H,HHH,3,1,2012,701429,190500
1899,Mount Road ATM,MONDAY,H,H,HHH,4,1,2012,516358,231900
1904,Mount Road ATM,TUESDAY,H,H,HHW,4,1,2012,516358,59700
1909,Mount Road ATM,TUESDAY,H,H,HHW,4,1,2012,516358,339600
1914,Mount Road ATM,TUESDAY,H,H,HHW,4,1,2012,516358,404300
1919,Mount Road ATM,TUESDAY,H,H,HHW,4,1,2012,516358,485400
1924,Mount Road ATM,SATURDAY,NH,H,WHH,5,1,2012,516358,551200
1929,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2012,516358,416300
1934,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2012,355486,519200
1939,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2012,355486,559800
1944,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2012,355486,542000
1949,Mount Road ATM,THURSDAY,N,H,WHW,6,1,2012,355486,427400
1954,Mount Road ATM,THURSDAY,N,H,WHW,6,1,2012,355486,499100
1959,Mount Road ATM,SATURDAY,NH,H,WHH,6,1,2012,355486,468300
1964,Mount Road ATM,SUNDAY,NH,H,HHW,6,1,2012,355486,264000
1969,Mount Road ATM,SUNDAY,NH,H,HHW,6,1,2012,468543,400400
1974,Mount Road ATM,SUNDAY,NH,H,HHW,7,1,2012,468543,448300
1979,Mount Road ATM,SUNDAY,NH,H,HHW,1,2,2012,468543,704100
1984,Mount Road ATM,SUNDAY,NH,H,HHW,1,2,2012,468543,646800
1989,Mount Road ATM,SUNDAY,NH,H,HHW,1,2,2012,468543,417900
1994,Mount Road ATM,SATURDAY,NH,H,WHH,1,2,2012,468543,771100
1999,Mount Road ATM,SUNDAY,M,H,HHW,1,2,2012,468543,532600
2004,Mount Road ATM,SUNDAY,M,H,HHW,2,2,2012,560172,554800
2009,Mount Road ATM,SUNDAY,M,H,HHW,2,2,2012,560172,804700
2014,Mount Road ATM,SUNDAY,M,H,HHW,2,2,2012,560172,886900
2019,Mount Road ATM,SUNDAY,M,H,HHW,2,2,2012,560172,612700
2024,Mount Road ATM,SUNDAY,M,H,HHW,2,2,2012,560172,779900
2029,Mount Road ATM,SATURDAY,NH,H,WHH,3,2,2012,560172,534500
2034,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2012,560172,440200
2039,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2012,659100,573500
2044,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2012,659100,429500
2049,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2012,659100,713700
2054,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2012,659100,444300
2059,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2012,659100,255900
2064,Mount Road ATM,SATURDAY,NH,H,WHH,4,2,2012,659100,579800
2069,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2012,659100,375700
2074,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2012,481772,381900
2079,Mount Road ATM,SUNDAY,NH,H,HHW,5,2,2012,481772,574000
2084,Mount Road ATM,SUNDAY,NH,H,HHW,5,2,2012,481772,448400
2089,Mount Road ATM,SUNDAY,NH,H,HHW,5,2,2012,481772,559500
2094,Mount Road ATM,SUNDAY,NH,H,HHW,5,2,2012,481772,457300
2099,Mount Road ATM,SATURDAY,NH,H,WHH,5,2,2012,481772,416900
2104,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2012,481772,390100
2109,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2012,461158,442200
2114,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2012,461158,424000
2119,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2012,461158,571200
2124,Mount Road ATM,SUNDAY,NH,H,HHW,1,3,2012,461158,743400
2129,Mount Road ATM,SUNDAY,NH,H,HHW,1,3,2012,461158,697300
2134,Mount Road ATM,SATURDAY,NH,H,WHH,1,3,2012,461158,703800
2139,Mount Road ATM,SUNDAY,NH,H,HHW,1,3,2012,461158,549500
2144,Mount Road ATM,SUNDAY,NH,H,HHW,1,3,2012,590200,760700
2149,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2012,590200,735000
2154,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2012,590200,756900
2159,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2012,590200,707900
2164,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2012,590200,584700
2169,Mount Road ATM,SATURDAY,NH,H,WHH,2,3,2012,590200,885400
2174,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2012,590200,190500
2179,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2012,660158,503800
2184,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2012,660158,462200
2189,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2012,660158,518900
2194,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2012,660158,734000
2199,Mount Road ATM,SUNDAY,NH,H,HHW,4,3,2012,660158,598900
2204,Mount Road ATM,SATURDAY,NH,H,WHH,4,3,2012,660158,757400
2209,Mount Road ATM,SUNDAY,NH,H,HHW,4,3,2012,660158,339600
2214,Mount Road ATM,SUNDAY,NH,H,HHW,4,3,2012,559258,440000
2219,Mount Road ATM,SUNDAY,NH,H,HHW,4,3,2012,559258,682600
2224,Mount Road ATM,SUNDAY,NH,H,HHW,5,3,2012,559258,358000
2229,Mount Road ATM,SUNDAY,NH,H,HHW,5,3,2012,559258,391500
2234,Mount Road ATM,FRIDAY,H,H,WHH,5,3,2012,559258,2200
2239,Mount Road ATM,SATURDAY,NH,H,HHH,5,3,2012,559258,567700
2244,Mount Road ATM,SUNDAY,NH,H,HHW,5,3,2012,559258,275100
2249,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2012,388158,281500
2254,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2012,388158,529100
2259,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2012,388158,494600
2264,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2012,388158,301500
2269,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2012,388158,718900
2274,Mount Road ATM,SATURDAY,NH,H,WHH,7,3,2012,388158,819100
2279,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2012,388158,430800
2284,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2012,510786,550000
2289,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2012,510786,346700
2294,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2012,510786,796000
2299,Mount Road ATM,THURSDAY,H,H,WHH,1,4,2012,510786,470500
2304,Mount Road ATM,FRIDAY,C,H,HHH,2,4,2012,510786,391400
2309,Mount Road ATM,SATURDAY,NH,H,HHH,2,4,2012,510786,529800
2314,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,2012,510786,343100
2319,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,2012,489643,594100
2324,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,2012,489643,491300
2329,Mount Road ATM,SUNDAY,NH,H,HHW,3,4,2012,489643,451600
2334,Mount Road ATM,SUNDAY,NH,H,HHW,3,4,2012,489643,566500
2339,Mount Road ATM,FRIDAY,H,H,WHH,3,4,2012,489643,161300
2344,Mount Road ATM,SATURDAY,NH,H,HHH,3,4,2012,489643,314300
2349,Mount Road ATM,SUNDAY,NH,H,HHW,3,4,2012,489643,275600
2354,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2012,407815,297700
2359,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2012,407815,308000
2364,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2012,407815,428300
2369,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2012,407815,656300
2374,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2012,407815,447700
2379,Mount Road ATM,SATURDAY,NH,H,WHH,5,4,2012,407815,620400
2384,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2012,407815,244700
2389,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2012,429015,322000
2394,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2012,429015,420000
2399,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2012,429015,369900
2404,Mount Road ATM,SUNDAY,NH,H,HHW,6,4,2012,429015,537400
2409,Mount Road ATM,SUNDAY,NH,H,HHW,6,4,2012,429015,399700
2414,Mount Road ATM,SATURDAY,NH,H,WHH,6,4,2012,429015,364500
2419,Mount Road ATM,SUNDAY,NH,H,HHW,6,4,2012,429015,106200
2424,Mount Road ATM,SUNDAY,NH,H,HHW,6,4,2012,359958,454700
2429,Mount Road ATM,TUESDAY,N,H,WHW,1,5,2012,359958,453200
2434,Mount Road ATM,TUESDAY,N,H,WHW,1,5,2012,359958,892300
2439,Mount Road ATM,TUESDAY,N,H,WHW,1,5,2012,359958,444300
2444,Mount Road ATM,TUESDAY,N,H,WHW,1,5,2012,359958,488800
2449,Mount Road ATM,SATURDAY,NH,H,WHH,1,5,2012,359958,593000
2454,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2012,359958,115800
2459,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2012,491729,408100
2464,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2012,491729,524900
2469,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2012,491729,596300
2474,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2012,491729,528100
2479,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2012,491729,423200
2484,Mount Road ATM,SATURDAY,NH,H,WHH,3,5,2012,491729,542500
2489,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2012,491729,413000
2494,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2012,490872,410500
2499,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2012,490872,373900
2504,Mount Road ATM,SUNDAY,NH,H,HHW,4,5,2012,490872,730800
2509,Mount Road ATM,SUNDAY,NH,H,HHW,4,5,2012,490872,616000
2514,Mount Road ATM,SUNDAY,NH,H,HHW,4,5,2012,490872,583300
2519,Mount Road ATM,SUNDAY,NH,H,HHW,4,5,2012,490872,501800
2524,Mount Road ATM,SUNDAY,NH,H,WHH,4,5,2012,490872,102700
2529,Mount Road ATM,MONDAY,NH,H,HHW,5,5,2012,474143,294400
2534,Mount Road ATM,MONDAY,NH,H,HHW,5,5,2012,474143,570000
2539,Mount Road ATM,MONDAY,NH,H,HHW,5,5,2012,474143,741100
2544,Mount Road ATM,MONDAY,NH,H,HHW,5,5,2012,474143,621500
2549,Mount Road ATM,MONDAY,NH,H,HHW,5,5,2012,474143,742000
2554,Mount Road ATM,SATURDAY,NH,H,WHH,6,5,2012,474143,1010100
2559,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2012,474143,451100
2564,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2012,632886,528300
2569,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2012,632886,547800
2574,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2012,632886,553300
2579,Mount Road ATM,SUNDAY,NH,H,HHW,7,5,2012,632886,642200
2584,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2012,632886,800000
2589,Mount Road ATM,SATURDAY,NH,H,WHH,1,6,2012,632886,684300
2594,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2012,632886,202500
2599,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2012,565486,153400
2604,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2012,565486,559100
2609,Mount Road ATM,SUNDAY,NH,H,HHW,2,6,2012,565486,678700
2614,Mount Road ATM,SUNDAY,NH,H,HHW,2,6,2012,565486,708300
2619,Mount Road ATM,SUNDAY,NH,H,HHW,2,6,2012,565486,1197200
2624,Mount Road ATM,SATURDAY,NH,H,WHH,2,6,2012,565486,975100
2629,Mount Road ATM,SUNDAY,NH,H,HHW,2,6,2012,565486,896700
2634,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2012,738358,684800
2639,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2012,738358,682000
2644,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2012,738358,813800
2649,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2012,738358,1127300
2654,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2012,738358,417700
2659,Mount Road ATM,SATURDAY,NH,H,WHH,4,6,2012,738358,513500
2668,Mount Road ATM,SUNDAY,NH,H,HHW,4,6,2012,706517,826200
2673,Mount Road ATM,SUNDAY,NH,H,HHW,4,6,2012,706517,631300
2678,Mount Road ATM,SUNDAY,NH,H,HHW,4,6,2012,706517,621800
2683,Mount Road ATM,SUNDAY,NH,H,HHW,5,6,2012,706517,975000
2688,Mount Road ATM,SUNDAY,NH,H,HHW,5,6,2012,706517,289600
2693,Mount Road ATM,SATURDAY,NH,H,WHH,5,6,2012,706517,560900
2698,Mount Road ATM,SUNDAY,NH,H,HHW,5,6,2012,706517,122100
2703,Mount Road ATM,SUNDAY,NH,H,HHW,5,6,2012,575272,479700
2708,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2012,575272,362800
2713,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2012,575272,395500
2718,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2012,575272,194300
2723,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2012,575272,441000
2728,Mount Road ATM,SATURDAY,NH,H,WHH,6,6,2012,575272,720000
2733,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2012,575272,930000
2738,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2012,503329,583500
2743,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2012,503329,770600
2748,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2012,503329,1159700
2753,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2012,503329,947600
2758,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2012,503329,721800
2763,Mount Road ATM,SATURDAY,NH,H,WHH,2,7,2012,503329,898100
2768,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2012,503329,478700
2773,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2012,794286,621400
2778,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2012,794286,585100
2783,Mount Road ATM,SUNDAY,NH,H,HHW,3,7,2012,794286,557100
2788,Mount Road ATM,SUNDAY,NH,H,HHW,3,7,2012,794286,606900
2793,Mount Road ATM,SUNDAY,NH,H,HHW,3,7,2012,794286,416600
2798,Mount Road ATM,SATURDAY,NH,H,WHH,3,7,2012,794286,699500
2803,Mount Road ATM,SUNDAY,NH,H,HHW,3,7,2012,794286,541700
2808,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2012,575472,700400
2813,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2012,575472,441100
2818,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2012,575472,609700
2823,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2012,575472,374700
2829,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2012,575472,549900
2834,Mount Road ATM,SATURDAY,NH,H,WHH,5,7,2012,575472,706600
2839,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2012,575472,350900
2844,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2012,533329,424000
2849,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2012,533329,206900
2854,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2012,533329,597600
2859,Mount Road ATM,SUNDAY,NH,H,HHW,6,7,2012,533329,495800
2864,Mount Road ATM,SUNDAY,NH,H,HHW,6,7,2012,533329,304600
2869,Mount Road ATM,SATURDAY,NH,H,WHH,6,7,2012,533329,504900
2874,Mount Road ATM,SUNDAY,NH,H,HHW,6,7,2012,533329,347900
2879,Mount Road ATM,SUNDAY,NH,H,HHW,6,7,2012,411672,458500
2884,Mount Road ATM,SUNDAY,NH,H,HHW,7,7,2012,411672,517300
2889,Mount Road ATM,SUNDAY,NH,H,HHW,1,8,2012,411672,695700
2894,Mount Road ATM,SUNDAY,NH,H,HHW,1,8,2012,411672,887800
2899,Mount Road ATM,SUNDAY,NH,H,HHW,1,8,2012,411672,717700
2904,Mount Road ATM,SATURDAY,NH,H,WHH,1,8,2012,411672,996100
2909,Mount Road ATM,SUNDAY,NH,H,HHW,1,8,2012,411672,423900
2914,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2012,671000,887100
2919,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2012,671000,605300
2924,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2012,671000,556100
2929,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2012,671000,510900
2934,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2012,671000,597100
2939,Mount Road ATM,SATURDAY,NH,H,WHH,3,8,2012,671000,709000
2944,Mount Road ATM,SUNDAY,NH,H,HHW,3,8,2012,671000,214400
2949,Mount Road ATM,SUNDAY,NH,H,HHW,3,8,2012,582843,667100
2954,Mount Road ATM,SUNDAY,NH,H,HHW,3,8,2012,582843,547500
2959,Mount Road ATM,WEDNESDAY,N,H,WHW,3,8,2012,582843,422900
2964,Mount Road ATM,WEDNESDAY,N,H,WHW,4,8,2012,582843,647900
2969,Mount Road ATM,WEDNESDAY,N,H,WHW,4,8,2012,582843,635700
2973,Mount Road ATM,SATURDAY,NH,H,WHH,4,8,2012,582843,709600
2978,Mount Road ATM,SUNDAY,NH,H,HHH,4,8,2012,582843,3500
2987,Mount Road ATM,MONDAY,M,H,HHW,5,8,2012,519172,263300
2992,Mount Road ATM,MONDAY,M,H,HHW,5,8,2012,519172,491400
2997,Mount Road ATM,MONDAY,M,H,HHW,5,8,2012,519172,490100
3002,Mount Road ATM,MONDAY,M,H,HHW,5,8,2012,519172,474200
3007,Mount Road ATM,SATURDAY,NH,H,WHH,5,8,2012,519172,719900
3012,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2012,519172,266300
3017,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2012,450867,575200
3022,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2012,450867,403400
3027,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2012,450867,435800
3032,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2012,450867,483900
3037,Mount Road ATM,SUNDAY,NH,H,HHW,7,8,2012,450867,693100
3042,Mount Road ATM,SATURDAY,NH,H,WHH,1,9,2012,450867,1229000
3047,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2012,450867,340000
3052,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2012,594343,927800
3057,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2012,594343,846300
3062,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2012,594343,1003600
3066,Mount Road ATM,SUNDAY,NH,H,HHW,2,9,2012,594343,798700
3071,Mount Road ATM,SUNDAY,NH,H,HHW,2,9,2012,594343,669600
3076,Mount Road ATM,SATURDAY,NH,H,WHH,2,9,2012,594343,786300
3081,Mount Road ATM,SUNDAY,NH,H,HHW,2,9,2012,594343,401100
3086,Mount Road ATM,SUNDAY,NH,H,HHW,2,9,2012,776200,471700
3091,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2012,776200,650300
3096,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2012,776200,600200
3101,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2012,776200,421100
3106,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2012,776200,767600
3111,Mount Road ATM,SATURDAY,NH,H,WHH,3,9,2012,776200,820800
3116,Mount Road ATM,SUNDAY,NH,H,HHW,4,9,2012,776200,366700
3121,Mount Road ATM,SUNDAY,NH,H,HHW,4,9,2012,585486,597500
3126,Mount Road ATM,SUNDAY,NH,H,HHW,4,9,2012,585486,551200
3131,Mount Road ATM,WEDNESDAY,H,H,WHW,4,9,2012,585486,430300
3136,Mount Road ATM,WEDNESDAY,H,H,WHW,4,9,2012,585486,443900
3141,Mount Road ATM,WEDNESDAY,H,H,WHW,5,9,2012,585486,491800
3146,Mount Road ATM,SATURDAY,NH,H,WHH,5,9,2012,585486,784900
3151,Mount Road ATM,SUNDAY,NH,H,HHW,5,9,2012,585486,290900
3156,Mount Road ATM,SUNDAY,NH,H,HHW,5,9,2012,512929,531400
3161,Mount Road ATM,SUNDAY,NH,H,HHW,5,9,2012,512929,473400
3166,Mount Road ATM,SUNDAY,NH,H,HHW,6,9,2012,512929,480400
3171,Mount Road ATM,SUNDAY,NH,H,HHW,6,9,2012,512929,509200
3176,Mount Road ATM,SUNDAY,NH,H,HHW,6,9,2012,512929,263600
3181,Mount Road ATM,SATURDAY,NH,H,WHH,6,9,2012,512929,690700
3186,Mount Road ATM,SUNDAY,NH,H,HHW,6,9,2012,512929,335500
3191,Mount Road ATM,SUNDAY,NH,H,HHW,1,10,2012,469172,893700
3196,Mount Road ATM,TUESDAY,N,H,WHW,1,10,2012,469172,438100
3201,Mount Road ATM,TUESDAY,N,H,WHW,1,10,2012,469172,991900
3206,Mount Road ATM,TUESDAY,N,H,WHW,1,10,2012,469172,674400
3211,Mount Road ATM,TUESDAY,N,H,WHW,1,10,2012,469172,748400
3216,Mount Road ATM,SATURDAY,NH,H,WHH,2,10,2012,469172,717600
3221,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2012,469172,500
3226,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2012,637800,776200
3231,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2012,637800,648300
3236,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2012,637800,873300
3241,Mount Road ATM,SUNDAY,NH,H,HHW,3,10,2012,637800,752200
3246,Mount Road ATM,SUNDAY,NH,H,HHW,3,10,2012,637800,735500
3251,Mount Road ATM,SATURDAY,NH,H,WHH,3,10,2012,637800,854500
3256,Mount Road ATM,SUNDAY,NH,H,HHW,3,10,2012,637800,400800
3261,Mount Road ATM,SUNDAY,NH,H,HHW,3,10,2012,720115,567000
3266,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2012,720115,495800
3271,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2012,720115,355600
3276,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2012,720115,447000
3281,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2012,720115,750300
3286,Mount Road ATM,SATURDAY,NH,H,WHH,4,10,2012,720115,629700
3291,Mount Road ATM,SUNDAY,NH,H,HHW,5,10,2012,720115,316900
3296,Mount Road ATM,SUNDAY,NH,H,HHW,5,10,2012,508900,646000
3301,Mount Road ATM,TUESDAY,H,H,WHH,5,10,2012,508900,394600
3306,Mount Road ATM,WEDNESDAY,H,H,HHW,5,10,2012,508900,336000
3311,Mount Road ATM,WEDNESDAY,H,H,HHW,5,10,2012,508900,439000
3316,Mount Road ATM,WEDNESDAY,H,H,HHW,6,10,2012,508900,540800
3321,Mount Road ATM,SATURDAY,M,H,WHH,6,10,2012,508900,440300
3326,Mount Road ATM,SUNDAY,NH,H,HHW,6,10,2012,508900,464300
3331,Mount Road ATM,SUNDAY,NH,H,HHW,6,10,2012,465858,185300
3336,Mount Road ATM,SUNDAY,NH,H,HHW,6,10,2012,465858,401600
3341,Mount Road ATM,SUNDAY,NH,H,HHW,7,10,2012,465858,495000
3346,Mount Road ATM,SUNDAY,NH,H,HHW,1,11,2012,465858,1020500
3351,Mount Road ATM,SUNDAY,NH,H,HHW,1,11,2012,465858,882800
3356,Mount Road ATM,SATURDAY,NH,H,WHH,1,11,2012,465858,1082400
3361,Mount Road ATM,SUNDAY,NH,H,HHW,1,11,2012,465858,432400
3366,Mount Road ATM,SUNDAY,NH,H,HHW,1,11,2012,642858,1296600
3371,Mount Road ATM,SUNDAY,NH,H,HHW,2,11,2012,642858,891500
3376,Mount Road ATM,SUNDAY,NH,H,HHW,2,11,2012,642858,904500
3381,Mount Road ATM,SUNDAY,NH,H,HHW,2,11,2012,642858,638500
3386,Mount Road ATM,SUNDAY,NH,H,HHW,2,11,2012,642858,992100
3391,Mount Road ATM,SATURDAY,NH,H,WHH,2,11,2012,642858,1164200
3396,Mount Road ATM,SUNDAY,NH,H,HHW,3,11,2012,642858,672500
3401,Mount Road ATM,SUNDAY,NH,H,HHW,3,11,2012,937129,617300
3406,Mount Road ATM,TUESDAY,H,H,WHW,3,11,2012,937129,283600
3411,Mount Road ATM,TUESDAY,H,H,WHW,3,11,2012,937129,420500
3416,Mount Road ATM,TUESDAY,H,H,WHW,3,11,2012,937129,393700
3421,Mount Road ATM,TUESDAY,H,H,WHW,4,11,2012,937129,353700
